MATCH UP,W/L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
"Jul 17, 2024 - IND @ DAL",L,40,24,10,19,52.6,2,9,22.2,2,3,66.7,0,6,6,19,0,0,6,1,-8
"Jul 14, 2024 - IND @ MIN",W,37,17,5,17,29.4,2,11,18.2,5,5,100,0,3,3,6,2,0,6,3,1
"Jul 12, 2024 - IND vs. PHO",W,38,20,8,16,50,2,7,28.6,2,2,100,1,5,6,13,1,2,6,2,9
"Jul 10, 2024 - IND vs. WAS",L,38,29,7,14,50,5,9,55.6,10,11,90.9,1,4,5,13,5,3,5,5,-3
"Jul 06, 2024 - IND vs. NYL",W,38,19,7,17,41.2,3,12,25,2,2,100,0,12,12,13,2,0,4,3,9
"Jul 02, 2024 - IND @ LVA",L,38,13,4,12,33.3,1,7,14.3,4,4,100,0,6,6,11,1,0,6,5,-19
"Jun 30, 2024 - IND @ PHO",W,39,15,4,14,28.6,2,10,20,5,6,83.3,0,9,9,12,0,0,6,3,3
"Jun 27, 2024 - IND @ SEA",L,38,15,4,9,44.4,3,7,42.9,4,5,80,0,6,6,7,0,1,6,1,-7
"Jun 23, 2024 - IND @ CHI",L,40,17,5,11,45.5,5,9,55.6,2,3,66.7,0,6,6,13,4,0,5,4,-1
"Jun 21, 2024 - IND @ ATL",W,35,16,6,12,50,4,8,50,0,1,0,0,4,4,7,0,1,7,4,13
"Jun 19, 2024 - IND vs. WAS",W,37,18,6,12,50,2,6,33.3,4,4,100,1,11,12,6,4,0,6,2,12
"Jun 16, 2024 - IND vs. CHI",W,37,23,7,11,63.6,3,7,42.9,6,6,100,0,8,8,9,0,2,5,3,10
"Jun 13, 2024 - IND vs. ATL",W,35,7,3,11,27.3,1,6,16.7,0,0,0,1,3,4,6,0,2,7,1,2
"Jun 10, 2024 - IND @ CON",L,22,10,3,8,37.5,2,5,40,2,2,100,0,0,0,2,1,0,3,4,-30
"Jun 07, 2024 - IND @ WAS",W,39,30,8,15,53.3,7,13,53.8,7,8,87.5,1,7,8,6,4,0,8,3,5
"Jun 02, 2024 - IND @ NYL",L,29,3,1,10,10,1,7,14.3,0,0,0,0,2,2,5,2,1,3,2,-28
"Jun 01, 2024 - IND vs. CHI",W,37,11,4,11,36.4,2,9,22.2,1,1,100,1,7,8,6,1,0,5,2,-2
"May 30, 2024 - IND vs. SEA",L,40,20,6,17,35.3,3,8,37.5,5,5,100,1,2,3,9,0,1,7,2,-13
"May 28, 2024 - IND vs. LAS",L,34,30,7,16,43.8,3,10,30,13,15,86.7,0,5,5,6,3,3,7,5,4
"May 25, 2024 - IND @ LVA",L,29,8,2,8,25,2,5,40,2,2,100,0,5,5,7,1,0,6,2,-18
"May 24, 2024 - IND @ LAS",W,37,11,4,14,28.6,2,9,22.2,1,2,50,1,9,10,8,4,1,2,2,3
"May 22, 2024 - IND @ SEA",L,33,21,6,16,37.5,2,8,25,7,9,77.8,1,6,7,7,0,2,3,0,7
"May 20, 2024 - IND vs. CON",L,27,17,5,11,45.5,3,7,42.9,4,4,100,0,3,3,5,0,2,5,5,-18
"May 18, 2024 - IND @ NYL",L,34,22,9,17,52.9,4,10,40,0,0,0,2,4,6,8,1,0,8,3,-9
"May 16, 2024 - IND vs. NYL",L,30,9,2,8,25,1,7,14.3,4,4,100,0,7,7,6,0,1,3,5,-24
"May 14, 2024 - IND @ CON",L,32,20,5,15,33.3,4,11,36.4,6,6,100,0,0,0,3,2,0,10,4,-13
